LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,DEFAULT_PAYMENT_NEXT_MONTH,NUM_DELAYED_MONTHS,MAX_PAYMENT_DELAY,HAS_PAYMENT_DELAY,RECENT_DELAY,AVG_BILL_AMT,MAX_BILL_AMT,AVG_PAY_AMT,TOTAL_PAY_AMT,ZERO_PAYMENT_MONTHS,CREDIT_UTILIZATION,AVG_CREDIT_UTILIZATION,PAYMENT_TO_BILL_RATIO,BILL_CHANGE
20000,2,2,1,24,2,2,-1,-1,-2,-2,3913,3102,689,0,0,0,0,689,0,0,0,0,1,2,2,1,1,1284.0,3913,114.83333333333333,689,5,0.19565,0.0642,0.08943406022845275,3913
120000,2,2,2,26,-1,2,0,0,0,2,2682,1725,2682,3272,3455,3261,0,1000,1000,1000,0,2000,1,2,2,1,0,2846.1666666666665,3455,833.3333333333334,5000,2,0.02235,0.023718055555555555,0.2927914739122797,-579
90000,2,2,2,34,0,0,0,0,0,0,29239,14027,13559,14331,14948,15549,1518,1500,1000,1000,1000,5000,0,0,0,0,0,16942.166666666668,29239,1836.3333333333333,11018,0,0.32487777777777777,0.1882462962962963,0.10838834072776996,13690
50000,2,2,1,37,0,0,0,0,0,0,46990,48233,49291,28314,28959,29547,2000,2019,1200,1100,1069,1000,0,0,0,0,0,38555.666666666664,49291,1398.0,8388,0,0.9398,0.7711133333333333,0.03625926150068732,17443
50000,1,2,1,57,-1,0,-1,0,0,0,8617,5670,35835,20940,19146,19131,2000,36681,10000,9000,689,679,0,0,0,0,0,18223.166666666668,35835,9841.5,59049,0,0.17234,0.36446333333333336,0.5400543264525923,-10514
50000,1,1,2,37,0,0,0,0,0,0,64400,57069,57608,19394,19619,20024,2500,1815,657,1000,1000,800,0,0,0,0,0,39685.666666666664,64400,1295.3333333333333,7772,0,1.288,0.7937133333333333,0.032639827981555056,44376
500000,1,1,2,29,0,0,0,0,0,0,367965,412023,445007,542653,483003,473944,55000,40000,38000,20239,13750,13770,0,0,0,0,0,454099.1666666667,542653,30126.5,180759,0,0.73593,0.9081983333333333,0.06634343819907179,-105979
100000,2,2,2,23,0,-1,-1,0,0,-1,11876,380,601,221,-159,567,380,601,0,581,1687,1542,0,0,0,0,0,2247.6666666666665,11876,798.5,4791,1,0.11876,0.022476666666666666,0.3552573038706807,11309
140000,2,3,1,28,0,0,2,0,0,0,11285,14096,12108,12211,11793,3719,3329,0,432,1000,1000,1000,0,1,2,1,0,10868.666666666666,14096,1126.8333333333333,6761,1,0.08060714285714286,0.07763333333333333,0.10367723731828497,7566
20000,1,3,2,35,-2,-2,-2,-2,-1,-1,0,0,0,0,13007,13912,0,0,0,13007,1122,0,0,0,0,0,0,4486.5,13912,2354.8333333333335,14129,4,0.0,0.224325,0.5248709090233664,-13912
200000,2,3,2,34,0,0,2,0,0,-1,11073,9787,5535,2513,1828,3731,2306,12,50,300,3738,66,0,1,2,1,0,5744.5,11073,1078.6666666666667,6472,0,0.055365,0.0287225,0.187773812632373,7342
260000,2,1,2,51,-1,-1,-1,-1,-1,2,12261,21670,9966,8517,22287,13668,21818,9966,8583,22301,0,3640,0,1,2,1,0,14728.166666666666,22287,11051.333333333334,66308,1,0.04715769230769231,0.05664679487179487,0.7503536307981307,-1407
630000,2,2,2,41,-1,0,-1,-1,-1,-1,12137,6500,6500,6500,6500,2870,1000,6500,6500,6500,2870,0,0,0,0,0,0,6834.5,12137,3895.0,23370,1,0.019265079365079363,0.0108484126984127,0.5699026995391031,9267
70000,1,2,2,30,1,2,2,0,0,2,65802,67369,65701,66782,36137,36894,3200,0,3000,3000,1500,0,1,4,2,1,1,56447.5,67369,1783.3333333333333,10700,2,0.9400285714285714,0.8063928571428571,0.03159277795001255,28908
250000,1,1,2,29,0,0,0,0,0,0,70887,67060,63561,59696,56875,55512,3000,3000,3000,3000,3000,3000,0,0,0,0,0,62265.166666666664,70887,3000.0,18000,0,0.283548,0.24906066666666665,0.04818103219831313,15375
50000,2,3,3,23,1,2,0,0,0,0,50614,29173,28116,28771,29531,30211,0,1500,1100,1200,1300,1100,0,2,2,1,1,32736.0,50614,1033.3333333333333,6200,1,1.01228,0.65472,0.03156565656565656,20403
20000,1,1,2,24,0,0,2,2,2,2,15376,18010,17428,18338,17905,19104,3200,0,1500,0,1650,0,1,4,2,1,0,17693.5,19104,1058.3333333333333,6350,3,0.7688,0.884675,0.059814809581673116,-3728
320000,1,1,1,49,0,0,0,-1,-1,-1,253286,246536,194663,70074,5856,195599,10358,10000,75940,20000,195599,50000,0,0,0,0,0,161002.33333333334,253286,60316.166666666664,361897,0,0.79151875,0.5031322916666667,0.37462914616144277,57687
