Feature,Importance
num__LIMIT_BAL,0.013395733
num__AGE,0.0060126716
num__PAY_0,0.07471292
num__PAY_2,0.016890394
num__PAY_3,0.0078170365
num__PAY_4,0.009854569
num__PAY_5,0.005485432
num__PAY_6,0.008714402
num__BILL_AMT1,0.01218886
num__BILL_AMT2,0.008896191
num__BILL_AMT3,0.007565832
num__BILL_AMT4,0.006550121
num__BILL_AMT5,0.00764115
num__BILL_AMT6,0.005357568
num__PAY_AMT1,0.011090757
num__PAY_AMT2,0.01428171
num__PAY_AMT3,0.012282463
num__PAY_AMT4,0.008734634
num__PAY_AMT5,0.0061272504
num__PAY_AMT6,0.00827736
num__NUM_DELAYED_MONTHS,0.19261613
num__MAX_PAYMENT_DELAY,0.38528645
num__HAS_PAYMENT_DELAY,0.0
num__RECENT_DELAY,0.0
num__AVG_BILL_AMT,0.012586346
num__MAX_BILL_AMT,0.022286458
num__AVG_PAY_AMT,0.018913234
num__TOTAL_PAY_AMT,0.0
num__ZERO_PAYMENT_MONTHS,0.012059019
num__CREDIT_UTILIZATION,0.01636814
num__AVG_CREDIT_UTILIZATION,0.009598617
num__PAYMENT_TO_BILL_RATIO,0.009126217
num__BILL_CHANGE,0.0075605107
cat__SEX_1,0.007727869
cat__SEX_2,0.0
cat__EDUCATION_1,0.008764672
cat__EDUCATION_2,0.008213524
cat__EDUCATION_3,0.004986728
cat__EDUCATION_4,0.00783764
cat__MARRIAGE_1,0.0076146973
cat__MARRIAGE_2,0.010015382
cat__MARRIAGE_3,0.0065613165
