mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__subsample,param_classifier__n_estimators,param_classifier__max_depth,param_classifier__learning_rate,param_classifier__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
7.44693938891093,0.14086955684249583,0.16782283782958984,0.018819255590728244,0.7,500,5,0.03,0.8,"{'classifier__subsample': 0.7, 'classifier__n_estimators': 500, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.03, 'classifier__colsample_bytree': 0.8}",0.5664476802337353,0.5416400340221889,0.5579169240189574,0.5553348794249605,0.010290935926123037,13
2.324807087580363,0.2408756394011949,0.07880322138468425,0.020210686645600884,0.7,200,3,0.03,0.8,"{'classifier__subsample': 0.7, 'classifier__n_estimators': 200, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.03, 'classifier__colsample_bytree': 0.8}",0.5746770943412354,0.5519586514292438,0.5531112728188051,0.5599156728630947,0.010448502510197381,7
5.160370508829753,0.22949665458986507,0.17461085319519043,0.089555830828015,1.0,200,6,0.03,0.8,"{'classifier__subsample': 1.0, 'classifier__n_estimators': 200, 'classifier__max_depth': 6, 'classifier__learning_rate': 0.03, 'classifier__colsample_bytree': 0.8}",0.5659275355449046,0.5493771266329153,0.55818928819652,0.5578313167914466,0.0067614158494431545,10
3.1748677094777427,0.4150744783359253,0.08403412501017253,0.009350683347687083,0.7,200,4,0.03,0.7,"{'classifier__subsample': 0.7, 'classifier__n_estimators': 200, 'classifier__max_depth': 4, 'classifier__learning_rate': 0.03, 'classifier__colsample_bytree': 0.7}",0.5741996849819341,0.5509675459999912,0.5591823099562409,0.5614498469793888,0.009619056209164081,4
2.314640919367472,0.18711990455058677,0.05305933952331543,0.0011561534851571547,0.7,200,3,0.1,0.8,"{'classifier__subsample': 0.7, 'classifier__n_estimators': 200, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.1, 'classifier__colsample_bytree': 0.8}",0.5593330826782925,0.5494557214127864,0.5558765445652495,0.5548884495521095,0.004092498438898023,14
3.1057449181874595,0.09334193514998151,0.0939188798268636,0.001691079808827293,0.7,200,5,0.03,0.8,"{'classifier__subsample': 0.7, 'classifier__n_estimators': 200, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.03, 'classifier__colsample_bytree': 0.8}",0.5733666280456613,0.5509768037635636,0.5611305653014161,0.561824665703547,0.009153774790470557,3
4.18984333674113,0.746112662832203,0.14853604634602866,0.06436537717342054,0.7,300,3,0.03,1.0,"{'classifier__subsample': 0.7, 'classifier__n_estimators': 300, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.03, 'classifier__colsample_bytree': 1.0}",0.5767213359471344,0.5499616378129383,0.559922410373028,0.5622017947110336,0.011042857594499206,2
7.7243320147196455,0.13838102443795067,0.19683194160461426,0.06384659270295917,0.8,500,4,0.1,0.8,"{'classifier__subsample': 0.8, 'classifier__n_estimators': 500, 'classifier__max_depth': 4, 'classifier__learning_rate': 0.1, 'classifier__colsample_bytree': 0.8}",0.5486243080830723,0.5279107137344874,0.5392144746710248,0.5385831654961948,0.008468063972561862,19
4.294484615325928,0.3798817558810978,0.12257194519042969,0.0258809590283155,1.0,300,4,0.05,1.0,"{'classifier__subsample': 1.0, 'classifier__n_estimators': 300, 'classifier__max_depth': 4, 'classifier__learning_rate': 0.05, 'classifier__colsample_bytree': 1.0}",0.5676818221548451,0.5431792119539703,0.5589520366478556,0.5566043569188904,0.010139959787768675,12
2.727060238520304,0.39823573946310087,0.06714908281962077,0.017751533475160414,0.7,200,3,0.05,0.8,"{'classifier__subsample': 0.7, 'classifier__n_estimators': 200, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.05, 'classifier__colsample_bytree': 0.8}",0.574511443401209,0.5481963572351483,0.5573986147581678,0.560035471798175,0.010903690545525604,6
